Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.000000,0,1,
0.002168,0.002168,1,1,
0.0230239,0.023024,0,1,
0.02556,0.025560,0,0,
0.4842959,0.484296,0,1,
0.5088,0.508800,0,0,
0.519992,0.519992,1,0,
0.541808,0.541808,0,0,
0.986424,0.986424,0,1,
1.009248,1.009248,0,0,
1.013504,1.013504,1,0,
1.0371439,1.037144,0,0,
1.49156,1.491560,1,0,
1.507768,1.507768,1,1,
1.515784,1.515784,0,1,
1.530128,1.530128,0,0,
1.978184,1.978184,1,0,
2.0008799,2.000880,0,0,
2.01516,2.015160,0,1,
2.0391199,2.039120,0,0,
2.4925679,2.492568,1,0,
2.50448,2.504480,1,1,
2.513624,2.513624,0,1,
2.5304159,2.530416,0,0,
2.9790159,2.979016,0,1,
3.0043759,3.004376,0,0,
3.00964,3.009640,1,0,
3.031232,3.031232,0,0,
3.479944,3.479944,0,1,
3.503216,3.503216,0,0,
3.5140399,3.514040,1,0,
3.537648,3.537648,0,0,
3.991344,3.991344,1,0,
3.994136,3.994136,1,1,
4.015808,4.015808,0,1,
4.0166959,4.016696,0,0,
4.474952,4.474952,1,0,
4.498312,4.498312,0,0,
4.511632,4.511632,0,1,
4.53536,4.535360,0,0,
4.97984,4.979840,1,0,
5.001496,5.001496,0,0,
5.002232,5.002232,0,1,
5.0278159,5.027816,0,0,
5.481568,5.481568,0,1,
5.501072,5.501072,1,1,
5.5076,5.507600,1,0,
5.5224399,5.522440,0,0,
5.969144,5.969144,0,1,
5.993432,5.993432,0,0,
6.008648,6.008648,1,0,
6.03164,6.031640,0,0,
6.485464,6.485464,0,1,
6.494904,6.494904,1,1,
6.508128,6.508128,1,0,
6.519824,6.519824,0,0,
6.970136,6.970136,1,0,
6.994296,6.994296,0,0,
7.000632,7.000632,0,1,
7.024016,7.024016,0,0,
7.471792,7.471792,1,0,
7.493872,7.493872,0,0,
7.504144,7.504144,0,1,
7.529728,7.529728,0,0,
7.9796159,7.979616,0,1,
7.988216,7.988216,1,1,
8.006008,8.006008,1,0,
8.0097119,8.009712,0,0,
8.4663039,8.466304,0,1,
8.49128,8.491280,0,0,
8.504472,8.504472,1,0,
8.5272399,8.527240,0,0,
8.9715519,8.971552,0,1,
8.9940799,8.994080,1,1,
8.9948799,8.994880,1,0,
9.0187119,9.018712,0,0,
9.4713039,9.471304,1,0,
9.493376,9.493376,1,1,
9.4961519,9.496152,0,1,
9.516544,9.516544,0,0,
9.9612399,9.961240,1,0,
9.9843359,9.984336,0,0,
9.998,9.998000,0,1,
10.0230159,10.023020,0,0,
10.4781839,10.478180,1,0,
10.4840399,10.484040,1,1,
10.499792,10.499790,0,1,
10.5109039,10.510900,0,0,
10.9595519,10.959550,0,1,
10.9855119,10.985510,0,0,
10.9944879,10.994490,1,0,
11.0169199,11.016920,0,0,
11.4640879,11.464090,0,1,
11.4878319,11.487830,0,0,
11.495448,11.495450,1,0,
11.5200559,11.520060,0,0,
11.9702559,11.970260,1,0,
11.9796079,11.979610,1,1,
11.9955439,11.995540,0,1,
12.00288,12.002880,0,0,
12.456712,12.456710,1,0,
12.4804559,12.480460,0,0,
12.4953279,12.495330,0,1,
12.520088,12.520090,0,0,
12.964768,12.964770,1,0,
12.9820559,12.982060,1,1,
12.98692,12.986920,0,1,
13.008664,13.008660,0,0,
13.461016,13.461020,0,1,
13.48628,13.486280,1,1,
13.487704,13.487700,1,0,
13.508448,13.508450,0,0,
13.952016,13.952020,0,1,
13.97676,13.976760,0,0,
13.9907999,13.990800,1,0,
