Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.00000,1,0,
0.0189199,0.01892,1,1,
0.1644399,0.16444,0,1,
0.1793359,0.17934,0,0,
1.3391919,1.33919,0,1,
1.4524719,1.45247,1,1,
1.503984,1.50398,1,0,
1.6116959,1.61170,0,0,
2.7334959,2.73350,1,0,
2.739064,2.73906,1,1,
2.888184,2.88818,0,1,
2.910072,2.91007,0,0,
4.067328,4.06733,0,1,
4.1702639,4.17026,1,1,
4.2429679,4.24297,1,0,
4.320944,4.32094,0,0,
5.4453999,5.44540,1,0,
5.481592,5.48159,1,1,
5.5948079,5.59481,0,1,
5.6602879,5.66029,0,0,
6.815432,6.81543,0,1,
6.874544,6.87454,1,1,
6.994112,6.99411,1,0,
7.023976,7.02398,0,0,
8.1479359,8.14794,1,0,
8.232184,8.23218,1,1,
8.299992,8.29999,0,1,
8.4071679,8.40717,0,0,
9.5631519,9.56315,0,1,
9.581888,9.58189,1,1,
9.7335439,9.73354,1,0,
9.7383199,9.73832,0,0,
10.858584,10.85858,1,0,
10.967336,10.96734,1,1,
11.0197919,11.01979,0,1,
11.1320559,11.13206,0,0,
12.2894079,12.28941,0,1,
12.308208,12.30821,1,1,
12.4500399,12.45004,1,0,
12.475544,12.47554,0,0,
13.591096,13.59110,1,0,
13.6815919,13.68159,1,1,
13.7621359,13.76214,0,1,
13.839392,13.83939,0,0,
14.9980559,14.99806,0,1,
15.054848,15.05485,1,1,
15.1552559,15.15526,1,0,
15.2277439,15.22774,0,0,
16.342568,16.34257,1,0,
16.384656,16.38466,1,1,
16.5134,16.51340,0,1,
16.543496,16.54350,0,0,
17.701472,17.70147,0,1,
17.804224,17.80422,1,1,
17.863312,17.86331,1,0,
17.970928,17.97093,0,0,
19.087208,19.08721,1,0,
19.095016,19.09502,1,1,
19.249184,19.24918,0,1,
19.262376,19.26238,0,0,
20.41864,20.41864,0,1,
20.533456,20.53346,1,1,
20.59108,20.59108,1,0,
20.690312,20.69031,0,0,
21.810208,21.81021,1,0,
21.825784,21.82578,1,1,
21.9635919,21.96359,0,1,
22.004408,22.00441,0,0,
23.156488,23.15649,0,1,
23.242992,23.24299,1,1,
23.337688,23.33769,1,0,
23.3944319,23.39443,0,0,
24.515552,24.51555,1,0,
24.5743839,24.57438,1,1,
24.6672559,24.66726,0,1,
24.755648,24.75565,0,0,
25.90884,25.90884,0,1,
25.946176,25.94618,1,1,
26.087584,26.08758,1,0,
26.1001279,26.10013,0,0,
27.219336,27.21934,1,0,
27.321,27.32100,1,1,
27.377232,27.37723,0,1,
27.493968,27.49397,0,0,
28.648336,28.64834,0,1,
28.660176,28.66018,1,1,
28.816608,28.81661,1,0,
28.823832,28.82383,0,0,
29.938432,29.93843,1,0,
29.938448,29.93845,0,0,
30.046656,30.04666,1,1,
30.107304,30.10730,0,1,
30.209672,30.20967,0,0,
31.367128,31.36713,0,1,
31.396368,31.39637,1,1,
31.526792,31.52679,1,0,
31.570656,31.57066,0,0,
32.682208,32.68221,1,0,
32.754304,32.75430,1,1,
32.858568,32.85857,0,1,
32.912648,32.91265,0,0,
34.071264,34.07126,0,1,
34.150704,34.15070,1,1,
34.2306079,34.23061,1,0,
34.325984,34.32598,0,0,
35.43716,35.43716,1,0,
35.45432,35.45432,1,1,
35.608376,35.60838,0,1,
35.61768,35.61768,0,0,
36.77688,36.77688,0,1,
36.894888,36.89489,1,1,
36.9450719,36.94507,1,0,
37.0594479,37.05945,0,0,
38.1706,38.17060,0,1,
38.174504,38.17450,1,1,
38.33372,38.33372,0,1,
